Freq [GHz],dB(S11_OFF),dB(S11_ON),dB(S21_OFF),dB(S21_ON)
2.967,-1.4075167844,-11.5920642388,-7.3273339778,-0.8826312232
2.968,-1.4082379332,-11.5813430542,-7.3247040841,-0.8835858655
2.969,-1.408960626,-11.5706283505,-7.3220717299,-0.8845423841
2.97,-1.4096848653,-11.5599201336,-7.3194369126,-0.8855007812
2.971,-1.4104106536,-11.5492184092,-7.3167996298,-0.8864610588
2.972,-1.4111379936,-11.538523183,-7.3141598788,-0.8874232194
2.973,-1.4118668876,-11.5278344607,-7.3115176572,-0.888387265
2.974,-1.4125973385,-11.5171522479,-7.3088729622,-0.889353198
2.975,-1.4133293487,-11.5064765502,-7.3062257913,-0.8903210206
2.976,-1.4140629208,-11.495807373,-7.3035761418,-0.8912907349
2.977,-1.4147980576,-11.4851447218,-7.3009240113,-0.8922623432
2.978,-1.4155347615,-11.4744886019,-7.298269397,-0.8932358478
2.979,-1.4162730352,-11.4638390188,-7.2956122963,-0.8942112508
2.98,-1.4170128814,-11.4531959776,-7.2929527066,-0.8951885545
2.981,-1.4177543028,-11.4425594837,-7.2902906252,-0.8961677611
2.982,-1.418497302,-11.4319295421,-7.2876260494,-0.8971488729
2.983,-1.4192418817,-11.4213061581,-7.2849589766,-0.898131892
2.984,-1.4199880445,-11.4106893366,-7.2822894042,-0.8991168207
2.985,-1.4207357933,-11.4000790827,-7.2796173293,-0.9001036613
2.986,-1.4214851307,-11.3894754014,-7.2769427494,-0.9010924159
2.987,-1.4222360594,-11.3788782975,-7.2742656617,-0.9020830868
2.988,-1.4229885822,-11.368287776,-7.2715860635,-0.9030756762
2.989,-1.4237427019,-11.3577038416,-7.268903952,-0.9040701863
2.99,-1.4244984212,-11.3471264992,-7.2662193245,-0.9050666195
2.991,-1.4252557428,-11.3365557533,-7.2635321784,-0.9060649778
2.992,-1.4260146696,-11.3259916088,-7.2608425107,-0.9070652636
2.993,-1.4267752044,-11.3154340702,-7.2581503188,-0.908067479
2.994,-1.4275373499,-11.304883142,-7.2554555999,-0.9090716263
2.995,-1.4283011091,-11.2943388289,-7.2527583512,-0.9100777078
2.996,-1.4290664847,-11.2838011352,-7.2500585699,-0.9110857256
2.997,-1.4298334796,-11.2732700654,-7.2473562533,-0.912095682
2.998,-1.4306020966,-11.2627456239,-7.2446513984,-0.9131075792
2.999,-1.4313723387,-11.2522278149,-7.2419440024,-0.9141214195
3,-1.4321442086,-11.2417166428,-7.2392340627,-0.915137205
3.001,-1.4329177094,-11.2312121119,-7.2365215762,-0.9161549381
3.002,-1.4336928439,-11.2207142262,-7.2338065401,-0.9171746209
3.003,-1.434469615,-11.21022299,-7.2310889517,-0.9181962557
3.004,-1.4352480256,-11.1997384073,-7.228368808,-0.9192198447
3.005,-1.4360280788,-11.1892604822,-7.2256461061,-0.9202453902
3.006,-1.4368097775,-11.1787892186,-7.2229208432,-0.9212728943
3.007,-1.4375931246,-11.1683246207,-7.2201930163,-0.9223023594
3.008,-1.4383781231,-11.1578666922,-7.2174626226,-0.9233337876
3.009,-1.4391647761,-11.147415437,-7.2147296591,-0.9243671812
3.01,-1.4399530865,-11.136970859,-7.211994123,-0.9254025424
3.011,-1.4407430574,-11.126532962,-7.2092560112,-0.9264398734
3.012,-1.4415346917,-11.1161017497,-7.2065153208,-0.9274791766
3.013,-1.4423279926,-11.1056772257,-7.2037720489,-0.928520454
3.014,-1.4431229632,-11.0952593938,-7.2010261926,-0.929563708
3.015,-1.4439196064,-11.0848482576,-7.1982777487,-0.9306089407
3.016,-1.4447179253,-11.0744438206,-7.1955267144,-0.9316561545
3.017,-1.4455179232,-11.0640460864,-7.1927730867,-0.9327053515
3.018,-1.446319603,-11.0536550585,-7.1900168625,-0.9337565341
3.019,-1.447122968,-11.0432707402,-7.1872580389,-0.9348097043
3.02,-1.4479280212,-11.0328931351,-7.1844966128,-0.9358648645
3.021,-1.4487347658,-11.0225222464,-7.1817325812,-0.9369220168
3.022,-1.4495432051,-11.0121580776,-7.1789659411,-0.9379811636
3.023,-1.450353342,-11.0018006318,-7.1761966894,-0.9390423071
3.024,-1.45116518,-10.9914499123,-7.173424823,-0.9401054494
3.025,-1.4519787221,-10.9811059224,-7.1706503389,-0.9411705929
3.026,-1.4527939716,-10.9707686652,-7.167873234,-0.9422377397
3.027,-1.4536109317,-10.9604381438,-7.1650935052,-0.9433068921
3.028,-1.4544296057,-10.9501143614,-7.1623111495,-0.9443780523
3.029,-1.4552499969,-10.9397973209,-7.1595261636,-0.9454512226
3.03,-1.4560721085,-10.9294870254,-7.1567385445,-0.9465264052
3.031,-1.4568959438,-10.9191834778,-7.1539482891,-0.9476036023
3.032,-1.4577215061,-10.9088866811,-7.1511553942,-0.9486828162
3.033,-1.4585487987,-10.8985966382,-7.1483598567,-0.9497640491
3.034,-1.4593778251,-10.888313352,-7.1455616735,-0.9508473032
3.035,-1.4602085884,-10.8780368252,-7.1427608413,-0.9519325808
3.036,-1.4610410922,-10.8677670606,-7.139957357,-0.953019884
3.037,-1.4618753397,-10.8575040611,-7.1371512174,-0.9541092152
3.038,-1.4627113344,-10.8472478293,-7.1343424193,-0.9552005766
3.039,-1.4635490796,-10.8369983679,-7.1315309595,-0.9562939704
3.04,-1.4643885789,-10.8267556795,-7.1287168349,-0.9573893988
3.041,-1.4652298355,-10.8165197668,-7.1259000421,-0.9584868641
3.042,-1.466072853,-10.8062906323,-7.1230805779,-0.9595863685
3.043,-1.4669176349,-10.7960682786,-7.1202584392,-0.9606879142
3.044,-1.4677641846,-10.7858527081,-7.1174336226,-0.9617915035
3.045,-1.4686125056,-10.7756439234,-7.1146061249,-0.9628971386
3.046,-1.4694626014,-10.7654419268,-7.1117759428,-0.9640048217
3.047,-1.4703144756,-10.7552467208,-7.1089430731,-0.9651145551
3.048,-1.4711681317,-10.7450583078,-7.1061075124,-0.9662263409
3.049,-1.4720235732,-10.73487669,-7.1032692575,-0.9673401815
3.05,-1.4728808037,-10.7247018697,-7.100428305,-0.9684560791
3.051,-1.4737398268,-10.7145338493,-7.0975846517,-0.9695740359
3.052,-1.4746006462,-10.704372631,-7.0947382941,-0.9706940541
3.053,-1.4754632653,-10.6942182169,-7.091889229,-0.9718161359
3.054,-1.4763276879,-10.6840706093,-7.0890374531,-0.9729402837
3.055,-1.4771939176,-10.6739298102,-7.0861829629,-0.9740664995
3.056,-1.478061958,-10.6637958219,-7.0833257551,-0.9751947858
3.057,-1.4789318129,-10.6536686463,-7.0804658263,-0.9763251446
3.058,-1.479803486,-10.6435482854,-7.0776031732,-0.9774575782
3.059,-1.4806769808,-10.6334347415,-7.0747377923,-0.9785920888
3.06,-1.4815523013,-10.6233280162,-7.0718696803,-0.9797286787
3.061,-1.482429451,-10.6132281118,-7.0689988336,-0.9808673501
3.062,-1.4833084338,-10.60313503,-7.066125249,-0.9820081053
3.063,-1.4841892535,-10.5930487727,-7.063248923,-0.9831509464
3.064,-1.4850719138,-10.5829693419,-7.060369852,-0.9842958757
3.065,-1.4859564185,-10.5728967393,-7.0574880328,-0.9854428954
3.066,-1.4868427715,-10.5628309668,-7.0546034617,-0.9865920077
3.067,-1.4877309766,-10.552772026,-7.0517161354,-0.987743215
3.068,-1.4886210376,-10.5427199189,-7.0488260504,-0.9888965193
3.069,-1.4895129585,-10.532674647,-7.0459332031,-0.9900519229
3.07,-1.490406743,-10.522636212,-7.0430375901,-0.9912094281
3.071,-1.4913023952,-10.5126046157,-7.0401392078,-0.9923690371
3.072,-1.492199919,-10.5025798596,-7.0372380528,-0.9935307521
3.073,-1.4930993182,-10.4925619454,-7.0343341215,-0.9946945753
3.074,-1.4940005969,-10.4825508745,-7.0314274104,-0.9958605089
3.075,-1.4949037589,-10.4725466487,-7.0285179159,-0.9970285552
3.076,-1.4958088084,-10.4625492693,-7.0256056345,-0.9981987165
3.077,-1.4967157492,-10.4525587379,-7.0226905626,-0.9993709948
3.078,-1.4976245855,-10.4425750559,-7.0197726966,-1.0005453925
3.079,-1.4985353212,-10.4325982247,-7.0168520329,-1.0017219118
3.08,-1.4994479605,-10.4226282459,-7.013928568,-1.0029005548
3.081,-1.5003625073,-10.4126651207,-7.0110022982,-1.0040813239
3.082,-1.5012789659,-10.4027088506,-7.00807322,-1.0052642212
3.083,-1.5021973402,-10.3927594367,-7.0051413296,-1.006449249
3.084,-1.5031176345,-10.3828168806,-7.0022066235,-1.0076364094
3.085,-1.5040398528,-10.3728811834,-6.9992690981,-1.0088257048
3.086,-1.5049639994,-10.3629523464,-6.9963287496,-1.0100171372
3.087,-1.5058900783,-10.3530303708,-6.9933855744,-1.011210709
3.088,-1.5068180939,-10.3431152578,-6.9904395688,-1.0124064223
3.089,-1.5077480503,-10.3332070087,-6.9874907292,-1.0136042794
3.09,-1.5086799518,-10.3233056245,-6.9845390518,-1.0148042825
3.091,-1.5096138026,-10.3134111064,-6.9815845331,-1.0160064338
3.092,-1.5105496069,-10.3035234556,-6.9786271691,-1.0172107355
3.093,-1.5114873692,-10.293642673,-6.9756669563,-1.0184171899
3.094,-1.5124270936,-10.2837687598,-6.9727038909,-1.0196257991
3.095,-1.5133687845,-10.2739017169,-6.9697379692,-1.0208365653
3.096,-1.5143124462,-10.2640415455,-6.9667691874,-1.0220494908
3.097,-1.5152580832,-10.2541882465,-6.9637975417,-1.0232645778
3.098,-1.5162056998,-10.2443418208,-6.9608230284,-1.0244818285
3.099,-1.5171553003,-10.2345022694,-6.9578456437,-1.0257012452
3.1,-1.5181068893,-10.2246695933,-6.9548653839,-1.0269228299
3.101,-1.5190604711,-10.2148437932,-6.9518822451,-1.028146585
3.102,-1.5200160501,-10.2050248702,-6.9488962235,-1.0293725126
3.103,-1.520973631,-10.195212825,-6.9459073154,-1.0306006149
3.104,-1.5219332182,-10.1854076585,-6.9429155168,-1.0318308942
3.105,-1.5228948161,-10.1756093715,-6.9399208239,-1.0330633527
3.106,-1.5238584293,-10.1658179648,-6.936923233,-1.0342979925
3.107,-1.5248240624,-10.1560334392,-6.9339227402,-1.0355348159
3.108,-1.5257917199,-10.1462557954,-6.9309193415,-1.0367738251
3.109,-1.5267614065,-10.136485034,-6.9279130332,-1.0380150223
3.11,-1.5277331267,-10.126721156,-6.9249038113,-1.0392584097
3.111,-1.5287068852,-10.1169641618,-6.9218916719,-1.0405039894
3.112,-1.5296826866,-10.1072140522,-6.9188766112,-1.0417517637
3.113,-1.5306605356,-10.0974708279,-6.9158586253,-1.0430017349
3.114,-1.5316404368,-10.0877344894,-6.9128377102,-1.044253905
3.115,-1.5326223951,-10.0780050373,-6.9098138619,-1.0455082763
3.116,-1.5336064151,-10.0682824723,-6.9067870767,-1.046764851
3.117,-1.5345925015,-10.0585667949,-6.9037573504,-1.0480236313
3.118,-1.5355806592,-10.0488580056,-6.9007246792,-1.0492846193
3.119,-1.5365708929,-10.039156105,-6.8976890591,-1.0505478173
3.12,-1.5375632074,-10.0294610935,-6.8946504861,-1.0518132275
3.121,-1.5385576076,-10.0197729718,-6.8916089563,-1.0530808521
3.122,-1.5395540984,-10.0100917401,-6.8885644656,-1.0543506932
3.123,-1.5405526845,-10.000417399,-6.88551701,-1.0556227531
3.124,-1.541553371,-9.990749949,-6.8824665855,-1.0568970339
3.125,-1.5425561626,-9.9810893903,-6.8794131882,-1.0581735378
3.126,-1.5435610644,-9.9714357235,-6.8763568139,-1.0594522671
3.127,-1.5445680812,-9.9617889488,-6.8732974586,-1.0607332238
3.128,-1.5455772182,-9.9521490667,-6.8702351183,-1.0620164103
3.129,-1.5465884802,-9.9425160775,-6.867169789,-1.0633018286
3.13,-1.5476018723,-9.9328899815,-6.8641014665,-1.064589481
3.131,-1.5486173996,-9.9232707791,-6.8610301467,-1.0658793696
3.132,-1.549635067,-9.9136584704,-6.8579558257,-1.0671714967
3.133,-1.5506548797,-9.9040530558,-6.8548784992,-1.0684658644
3.134,-1.5516768429,-9.8944545355,-6.8517981632,-1.0697624748
3.135,-1.5527009615,-9.8848629098,-6.8487148136,-1.0710613302
3.136,-1.5537272408,-9.8752781789,-6.8456284463,-1.0723624328
3.137,-1.554755686,-9.8657003429,-6.842539057,-1.0736657847
3.138,-1.5557863022,-9.8561294022,-6.8394466417,-1.0749713881
3.139,-1.5568190946,-9.8465653567,-6.8363511962,-1.0762792452
3.14,-1.5578540685,-9.8370082068,-6.8332527164,-1.0775893581
3.141,-1.5588912292,-9.8274579525,-6.8301511981,-1.078901729
3.142,-1.559930582,-9.817914594,-6.827046637,-1.0802163602
3.143,-1.560972132,-9.8083781314,-6.8239390291,-1.0815332536
3.144,-1.5620158848,-9.7988485647,-6.8208283701,-1.0828524117
3.145,-1.5630618455,-9.789325894,-6.8177146558,-1.0841738364
3.146,-1.5641100197,-9.7798101195,-6.814597882,-1.08549753
3.147,-1.5651604126,-9.7703012411,-6.8114780444,-1.0868234946
3.148,-1.5662130298,-9.7607992589,-6.8083551389,-1.0881517324
3.149,-1.5672678766,-9.7513041728,-6.8052291612,-1.0894822455
3.15,-1.5683249585,-9.741815983,-6.802100107,-1.0908150362
3.151,-1.5693842811,-9.7323346893,-6.7989679721,-1.0921501066
3.152,-1.5704458498,-9.7228602918,-6.7958327521,-1.0934874587
3.153,-1.5715096702,-9.7133927904,-6.7926944429,-1.0948270949
3.154,-1.5725757477,-9.703932185,-6.7895530401,-1.0961690172
3.155,-1.5736440881,-9.6944784757,-6.7864085395,-1.0975132278
3.156,-1.5747146969,-9.6850316622,-6.7832609366,-1.0988597289
3.157,-1.5757875798,-9.6755917445,-6.7801102273,-1.1002085226
3.158,-1.5768627424,-9.6661587225,-6.7769564071,-1.101559611
3.159,-1.5779401903,-9.6567325961,-6.7737994718,-1.1029129964
3.16,-1.5790199294,-9.6473133651,-6.770639417,-1.1042686808
3.161,-1.5801019653,-9.6379010294,-6.7674762383,-1.1056266664
3.162,-1.5811863037,-9.6284955888,-6.7643099314,-1.1069869553
3.163,-1.5822729505,-9.6190970431,-6.7611404918,-1.1083495497
3.164,-1.5833619115,-9.6097053921,-6.7579679154,-1.1097144517
3.165,-1.5844531925,-9.6003206357,-6.7547921975,-1.1110816635
3.166,-1.5855467992,-9.5909427736,-6.7516133339,-1.1124511872
3.167,-1.5866427378,-9.5815718056,-6.7484313201,-1.113823025
3.168,-1.5877410139,-9.5722077314,-6.7452461518,-1.1151971789
3.169,-1.5888416336,-9.5628505508,-6.7420578244,-1.1165736512
3.17,-1.5899446027,-9.5535002635,-6.7388663336,-1.1179524438
3.171,-1.5910499274,-9.5441568693,-6.7356716748,-1.1193335591
3.172,-1.5921576135,-9.5348203678,-6.7324738438,-1.120716999
3.173,-1.5932676672,-9.5254907588,-6.7292728359,-1.1221027658
3.174,-1.5943800944,-9.5161680419,-6.7260686468,-1.1234908615
3.175,-1.5954949013,-9.5068522169,-6.7228612718,-1.1248812884
3.176,-1.5966120939,-9.4975432833,-6.7196507067,-1.1262740484
3.177,-1.5977316784,-9.4882412408,-6.7164369468,-1.1276691437
3.178,-1.598853661,-9.4789460891,-6.7132199876,-1.1290665765
3.179,-1.5999780478,-9.4696578278,-6.7099998247,-1.1304663488
3.18,-1.6011048451,-9.4603764565,-6.7067764535,-1.1318684628
3.181,-1.602234059,-9.4511019748,-6.7035498695,-1.1332729206
3.182,-1.603365696,-9.4418343823,-6.7003200681,-1.1346797242
3.183,-1.6044997621,-9.4325736786,-6.6970870448,-1.1360888759
3.184,-1.6056362639,-9.4233198633,-6.6938507951,-1.1375003777
3.185,-1.6067752076,-9.414072936,-6.6906113143,-1.1389142317
3.186,-1.6079165995,-9.4048328961,-6.6873685979,-1.1403304401
3.187,-1.6090604462,-9.3955997432,-6.6841226412,-1.1417490049
3.188,-1.610206754,-9.3863734769,-6.6808734398,-1.1431699282
3.189,-1.6113555293,-9.3771540967,-6.677620989,-1.1445932121
3.19,-1.6125067788,-9.3679416022,-6.6743652841,-1.1460188588
3.191,-1.6136605088,-9.3587359927,-6.6711063207,-1.1474468703
3.192,-1.6148167259,-9.3495372678,-6.6678440939,-1.1488772487
3.193,-1.6159754367,-9.3403454269,-6.6645785993,-1.1503099961
3.194,-1.6171366478,-9.3311604697,-6.6613098321,-1.1517451146
3.195,-1.6183003658,-9.3219823954,-6.6580377878,-1.1531826062
3.196,-1.6194665974,-9.3128112036,-6.6547624615,-1.1546224732
3.197,-1.6206353492,-9.3036468938,-6.6514838487,-1.1560647175
3.198,-1.6218066279,-9.2944894652,-6.6482019447,-1.1575093412
3.199,-1.6229804403,-9.2853389175,-6.6449167448,-1.1589563465
3.2,-1.6241567932,-9.2761952499,-6.6416282443,-1.1604057353
3.201,-1.6253356934,-9.267058462,-6.6383364384,-1.1618575098
3.202,-1.6265171476,-9.257928553,-6.6350413226,-1.163311672
3.203,-1.6277011628,-9.2488055225,-6.6317428919,-1.1647682241
3.204,-1.6288877458,-9.2396893697,-6.6284411418,-1.166227168
3.205,-1.6300769035,-9.2305800941,-6.6251360675,-1.1676885059
3.206,-1.6312686429,-9.2214776949,-6.6218276642,-1.1691522398
3.207,-1.6324629709,-9.2123821717,-6.6185159271,-1.1706183717
3.208,-1.6336598946,-9.2032935236,-6.6152008515,-1.1720869038
3.209,-1.634859421,-9.1942117502,-6.6118824327,-1.1735578381
3.21,-1.6360615572,-9.1851368506,-6.6085606658,-1.1750311766
3.211,-1.6372663102,-9.1760688242,-6.605235546,-1.1765069215
3.212,-1.6384736871,-9.1670076703,-6.6019070686,-1.1779850747
3.213,-1.6396836952,-9.1579533883,-6.5985752287,-1.1794656383
3.214,-1.6408963416,-9.1489059774,-6.5952400215,-1.1809486143
3.215,-1.6421116335,-9.1398654369,-6.5919014423,-1.1824340048
3.216,-1.6433295783,-9.1308317662,-6.5885594861,-1.1839218119
3.217,-1.644550183,-9.1218049644,-6.585214148,-1.1854120375
3.218,-1.6457734552,-9.1127850309,-6.5818654234,-1.1869046838
3.219,-1.646999402,-9.1037719649,-6.5785133073,-1.1883997527
3.22,-1.6482280309,-9.0947657657,-6.5751577948,-1.1898972463
3.221,-1.6494593494,-9.0857664325,-6.571798881,-1.1913971666
3.222,-1.6506933647,-9.0767739646,-6.5684365612,-1.1928995157
3.223,-1.6519300845,-9.0677883611,-6.5650708303,-1.1944042955
3.224,-1.6531695161,-9.0588096214,-6.5617016835,-1.1959115081
3.225,-1.6544116672,-9.0498377446,-6.5583291159,-1.1974211555
3.226,-1.6556565453,-9.04087273,-6.5549531225,-1.1989332398
3.227,-1.656904158,-9.0319145767,-6.5515736985,-1.2004477629
3.228,-1.6581545129,-9.0229632839,-6.5481908389,-1.2019647268
3.229,-1.6594076177,-9.0140188509,-6.5448045387,-1.2034841336
3.23,-1.66066348,-9.0050812769,-6.5414147931,-1.2050059853
3.231,-1.6619221078,-8.9961505609,-6.538021597,-1.2065302839
3.232,-1.6631835086,-8.9872267022,-6.5346249454,-1.2080570314
3.233,-1.6644476902,-8.9783097,-6.5312248335,-1.2095862298
3.234,-1.6657146606,-8.9693995533,-6.5278212563,-1.211117881
3.235,-1.6669844276,-8.9604962614,-6.5244142086,-1.2126519872
3.236,-1.6682569991,-8.9515998235,-6.5210036856,-1.2141885502
3.237,-1.6695323829,-8.9427102385,-6.5175896823,-1.2157275721
3.238,-1.6708105872,-8.9338275058,-6.5141721935,-1.2172690548
3.239,-1.6720916198,-8.9249516243,-6.5107512144,-1.2188130004
3.24,-1.6733754889,-8.9160825933,-6.5073267398,-1.2203594108
3.241,-1.6746622024,-8.9072204118,-6.5038987648,-1.2219082879
3.242,-1.6759517686,-8.898365079,-6.5004672842,-1.2234596339
3.243,-1.6772441955,-8.8895165939,-6.4970322931,-1.2250134506
3.244,-1.6785394913,-8.8806749557,-6.4935937864,-1.2265697401
3.245,-1.6798376642,-8.8718401634,-6.4901517589,-1.2281285042
3.246,-1.6811387225,-8.8630122162,-6.4867062057,-1.2296897449
3.247,-1.6824426744,-8.8541911131,-6.4832571216,-1.2312534643
3.248,-1.6837495284,-8.8453768532,-6.4798045015,-1.2328196643
3.249,-1.6850592926,-8.8365694356,-6.4763483404,-1.2343883468
3.25,-1.6863719756,-8.8277688594,-6.4728886332,-1.2359595138
3.251,-1.6876875858,-8.8189751235,-6.4694253746,-1.2375331672
3.252,-1.6890061315,-8.8101882271,-6.4659585597,-1.239109309
3.253,-1.6903276214,-8.8014081692,-6.4624881832,-1.2406879412
3.254,-1.6916520639,-8.7926349488,-6.4590142401,-1.2422690656
3.255,-1.6929794677,-8.7838685651,-6.4555367251,-1.2438526842
3.256,-1.6943098413,-8.775109017,-6.4520556331,-1.245438799
3.257,-1.6956431933,-8.7663563035,-6.448570959,-1.2470274118
3.258,-1.6969795326,-8.7576104238,-6.4450826976,-1.2486185247
3.259,-1.6983188678,-8.7488713767,-6.4415908437,-1.2502121395
3.26,-1.6996612076,-8.7401391614,-6.4380953922,-1.2518082582
3.261,-1.7010065609,-8.7314137768,-6.4345963377,-1.2534068826
3.262,-1.7023549365,-8.722695222,-6.4310936752,-1.2550080148
3.263,-1.7037063432,-8.7139834959,-6.4275873995,-1.2566116566
3.264,-1.7050607901,-8.7052785975,-6.4240775052,-1.2582178099
3.265,-1.706418286,-8.6965805259,-6.4205639873,-1.2598264766
3.266,-1.70777884,-8.6878892801,-6.4170468404,-1.2614376587
3.267,-1.7091424611,-8.6792048589,-6.4135260593,-1.263051358
3.268,-1.7105091583,-8.6705272614,-6.4100016388,-1.2646675765
3.269,-1.7118789407,-8.6618564866,-6.4064735736,-1.266286316
3.27,-1.7132518176,-8.6531925335,-6.4029418585,-1.2679075785
3.271,-1.7146277981,-8.6445354009,-6.3994064882,-1.2695313657
3.272,-1.7160068915,-8.6358850879,-6.3958674575,-1.2711576797
3.273,-1.7173891069,-8.6272415935,-6.3923247609,-1.2727865222
3.274,-1.7187744538,-8.6186049165,-6.3887783934,-1.2744178953
3.275,-1.7201629414,-8.609975056,-6.3852283495,-1.2760518006
3.276,-1.7215545792,-8.6013520109,-6.3816746239,-1.2776882402
3.277,-1.7229493766,-8.5927357801,-6.3781172114,-1.2793272159
3.278,-1.7243473431,-8.5841263625,-6.3745561066,-1.2809687295
3.279,-1.7257484882,-8.5755237572,-6.3709913043,-1.282612783
3.28,-1.7271528214,-8.566927963,-6.367422799,-1.2842593781
3.281,-1.7285603525,-8.5583389788,-6.3638505854,-1.2859085167
3.282,-1.7299710909,-8.5497568036,-6.3602746583,-1.2875602007
3.283,-1.7313850464,-8.5411814363,-6.3566950122,-1.289214432
3.284,-1.7328022287,-8.5326128759,-6.3531116417,-1.2908712123
3.285,-1.7342226475,-8.5240511212,-6.3495245416,-1.2925305436
3.286,-1.7356463128,-8.5154961711,-6.3459337064,-1.2941924276
3.287,-1.7370732344,-8.5069480245,-6.3423391308,-1.2958568662
3.288,-1.7385034221,-8.4984066804,-6.3387408093,-1.2975238612
3.289,-1.7399368858,-8.4898721377,-6.3351387367,-1.2991934144
3.29,-1.7413736357,-8.4813443952,-6.3315329074,-1.3008655277
3.291,-1.7428136817,-8.4728234518,-6.327923316,-1.302540203
3.292,-1.7442570338,-8.4643093064,-6.3243099573,-1.3042174419
3.293,-1.7457037023,-8.455801958,-6.3206928256,-1.3058972463
3.294,-1.7471536972,-8.4473014053,-6.3170719157,-1.3075796181
3.295,-1.7486070288,-8.4388076473,-6.313447222,-1.309264559
3.296,-1.7500637074,-8.4303206828,-6.3098187392,-1.3109520708
3.297,-1.7515237431,-8.4218405107,-6.3061864617,-1.3126421554
3.298,-1.7529871464,-8.4133671299,-6.3025503842,-1.3143348145
3.299,-1.7544539277,-8.4049005393,-6.2989105011,-1.3160300499
3.3,-1.7559240974,-8.3964407376,-6.2952668071,-1.3177278635
3.301,-1.7573976659,-8.3879877238,-6.2916192965,-1.3194282569
3.302,-1.7588746438,-8.3795414967,-6.287967964,-1.321131232
3.303,-1.7603550417,-8.3711020552,-6.2843128041,-1.3228367905
3.304,-1.7618388702,-8.3626693982,-6.2806538112,-1.3245449342
3.305,-1.7633261399,-8.3542435243,-6.2769909799,-1.3262556649
3.306,-1.7648168616,-8.3458244326,-6.2733243046,-1.3279689844
3.307,-1.766311046,-8.3374121218,-6.2696537798,-1.3296848944
3.308,-1.767808704,-8.3290065909,-6.2659794001,-1.3314033966
3.309,-1.7693098463,-8.3206078385,-6.2623011599,-1.3331244928
3.31,-1.770814484,-8.3122158636,-6.2586190536,-1.3348481848
3.311,-1.7723226278,-8.303830665,-6.2549330758,-1.3365744743
3.312,-1.773834289,-8.2954522414,-6.2512432209,-1.3383033631
3.313,-1.7753494784,-8.2870805918,-6.2475494832,-1.3400348528
3.314,-1.7768682072,-8.278715715,-6.2438518574,-1.3417689452
3.315,-1.7783904866,-8.2703576097,-6.2401503377,-1.3435056421
3.316,-1.7799163277,-8.2620062748,-6.2364449187,-1.3452449451
3.317,-1.7814457418,-8.2536617091,-6.2327355948,-1.346986856
3.318,-1.7829787402,-8.2453239114,-6.2290223604,-1.3487313765
3.319,-1.7845153342,-8.2369928805,-6.2253052098,-1.3504785083
3.32,-1.7860555352,-8.2286686152,-6.2215841376,-1.3522282531
3.321,-1.7875993547,-8.2203511144,-6.217859138,-1.3539806126
3.322,-1.7891468042,-8.2120403767,-6.2141302056,-1.3557355885
3.323,-1.7906978952,-8.2037364011,-6.2103973346,-1.3574931826
3.324,-1.7922526393,-8.1954391862,-6.2066605196,-1.3592533964
3.325,-1.7938110482,-8.1871487309,-6.2029197547,-1.3610162317
3.326,-1.7953731335,-8.1788650341,-6.1991750345,-1.3627816902
3.327,-1.7969389071,-8.1705880944,-6.1954263533,-1.3645497735
3.328,-1.7985083808,-8.1623179106,-6.1916737055,-1.3663204834
3.329,-1.8000815663,-8.1540544816,-6.1879170853,-1.3680938214
3.33,-1.8016584757,-8.145797806,-6.1841564872,-1.3698697893
3.331,-1.8032391209,-8.1375478828,-6.1803919055,-1.3716483886
3.332,-1.8048235138,-8.1293047106,-6.1766233346,-1.3734296212
3.333,-1.8064116667,-8.1210682882,-6.1728507687,-1.3752134885
3.334,-1.8080035916,-8.1128386144,-6.1690742022,-1.3769999923
3.335,-1.8095993006,-8.104615688,-6.1652936294,-1.3787891342
3.336,-1.8111988061,-8.0963995077,-6.1615090446,-1.3805809159
3.337,-1.8128021204,-8.0881900723,-6.1577204422,-1.3823753389
3.338,-1.8144092557,-8.0799873805,-6.1539278164,-1.3841724049
3.339,-1.8160202244,-8.0717914311,-6.1501311616,-1.3859721156
3.34,-1.8176350391,-8.0636022229,-6.1463304721,-1.3877744725
3.341,-1.8192537123,-8.0554197545,-6.1425257421,-1.3895794772
3.342,-1.8208762565,-8.0472440249,-6.1387169658,-1.3913871315
3.343,-1.8225026843,-8.0390750326,-6.1349041377,-1.3931974368
3.344,-1.8241330085,-8.0309127764,-6.131087252,-1.3950103947
3.345,-1.8257672417,-8.0227572551,-6.1272663029,-1.396826007
3.346,-1.8274053968,-8.0146084675,-6.1234412847,-1.3986442751
3.347,-1.8290474866,-8.0064664122,-6.1196121917,-1.4004652007
3.348,-1.8306935241,-7.9983310879,-6.1157790181,-1.4022887853
3.349,-1.8323435221,-7.9902024935,-6.1119417582,-1.4041150305
3.35,-1.8339974938,-7.9820806277,-6.1081004061,-1.4059439379
3.351,-1.8356554523,-7.9739654891,-6.1042549563,-1.4077755091
3.352,-1.8373174106,-7.9658570765,-6.1004054028,-1.4096097456
3.353,-1.838983382,-7.9577553887,-6.0965517399,-1.4114466489
3.354,-1.8406533797,-7.9496604243,-6.0926939619,-1.4132862207
3.355,-1.8423274171,-7.9415721821,-6.088832063,-1.4151284625
3.356,-1.8440055075,-7.9334906607,-6.0849660373,-1.4169733758
3.357,-1.8456876645,-7.925415859,-6.0810958791,-1.4188209622
